epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1064,2.02036,4.77398,1.81616,0.01308,0.07507,0.01048,0.00809,1.00948,inf,1.01162,3.683e-05,3.683e-05,3.683e-05
2,20.1605,0.8607,3.63401,1.06221,0.21681,0.31813,0.23246,0.20299,0.61216,3.17199,0.8977,7.45591e-05,7.45591e-05,7.45591e-05
3,30.0649,0.66547,2.37887,0.96315,0.57385,0.6279,0.62524,0.56863,0.49011,1.86891,0.85526,0.000111911,0.000111911,0.000111911
4,39.9763,0.5744,1.45031,0.9177,0.80022,0.86142,0.91862,0.85557,0.39739,0.93814,0.84522,0.000125114,0.000125114,0.000125114
5,48.6422,0.49489,0.96309,0.87521,0.95664,0.97306,0.9811,0.9329,0.34303,0.521,0.82513,0.000124485,0.000124485,0.000124485
6,56.7282,0.42666,0.72538,0.85149,0.97804,0.99574,0.98705,0.96537,0.26042,0.39483,0.80315,0.000123857,0.000123857,0.000123857
7,64.5949,0.39137,0.6121,0.83776,0.98772,0.9944,0.99178,0.97454,0.24304,0.32891,0.79247,0.000123228,0.000123228,0.000123228
8,72.0931,0.35269,0.53656,0.82678,0.9958,0.99806,0.99496,0.98622,0.21365,0.30341,0.78412,0.000122599,0.000122599,0.000122599
9,79.7561,0.33279,0.48777,0.81684,0.99829,0.99981,0.995,0.98784,0.20864,0.24562,0.77766,0.000121971,0.000121971,0.000121971
10,87.2711,0.32105,0.45594,0.81467,0.99763,0.99919,0.995,0.98621,0.21692,0.25738,0.77937,0.000121342,0.000121342,0.000121342
11,94.4763,0.31093,0.43675,0.813,0.99744,0.99974,0.995,0.99187,0.17571,0.22551,0.77164,0.000120714,0.000120714,0.000120714
12,101.856,0.29148,0.40136,0.8075,0.99882,0.99996,0.995,0.99355,0.17062,0.20522,0.7696,0.000120085,0.000120085,0.000120085
13,109.251,0.29472,0.40155,0.80664,0.99888,0.99977,0.995,0.98498,0.22835,0.22098,0.77417,0.000119456,0.000119456,0.000119456
14,116.488,0.28836,0.38502,0.80474,0.99897,0.99981,0.995,0.99176,0.18421,0.20172,0.76896,0.000118828,0.000118828,0.000118828
15,123.601,0.26734,0.36309,0.80358,0.99794,0.99922,0.995,0.99408,0.16048,0.19134,0.76714,0.000118199,0.000118199,0.000118199
16,130.961,0.25159,0.34731,0.7994,0.99785,0.99946,0.995,0.99363,0.17974,0.19245,0.76907,0.00011757,0.00011757,0.00011757
17,138.263,0.25232,0.3443,0.7984,0.9989,0.99987,0.995,0.99451,0.15203,0.18284,0.76523,0.000116942,0.000116942,0.000116942
18,145.482,0.24351,0.33384,0.79681,0.99916,0.99993,0.995,0.99462,0.14705,0.18122,0.76534,0.000116313,0.000116313,0.000116313
19,152.752,0.24931,0.33052,0.79691,0.99858,0.99992,0.995,0.99447,0.13858,0.1694,0.76324,0.000115684,0.000115684,0.000115684
20,159.908,0.25618,0.32731,0.79765,0.99904,0.99985,0.995,0.99334,0.1892,0.18377,0.77068,0.000115056,0.000115056,0.000115056
21,166.9,0.27046,0.33145,0.80158,0.99897,0.99996,0.995,0.99385,0.16815,0.17422,0.76406,0.000114427,0.000114427,0.000114427
22,174.058,0.25625,0.3183,0.79683,0.99855,1,0.995,0.99483,0.14123,0.1664,0.76136,0.000113798,0.000113798,0.000113798
23,181.416,0.24586,0.30792,0.79412,0.99906,1,0.995,0.99442,0.13939,0.16652,0.76229,0.00011317,0.00011317,0.00011317
24,188.502,0.22741,0.30715,0.79385,0.99902,1,0.995,0.99489,0.12669,0.15666,0.76237,0.000112541,0.000112541,0.000112541
25,195.883,0.22339,0.29656,0.7906,0.99907,1,0.995,0.99445,0.17333,0.16847,0.76502,0.000111912,0.000111912,0.000111912
26,202.882,0.22378,0.29696,0.79327,0.99923,0.99999,0.995,0.99495,0.12029,0.15323,0.76136,0.000111284,0.000111284,0.000111284
27,210.215,0.21925,0.28656,0.79169,0.99902,0.99994,0.995,0.99391,0.15565,0.16208,0.76333,0.000110655,0.000110655,0.000110655
28,217.295,0.21078,0.28478,0.79088,0.99862,0.99977,0.995,0.99494,0.12343,0.15363,0.76221,0.000110026,0.000110026,0.000110026
29,224.592,0.21509,0.28545,0.79151,0.99891,0.99997,0.995,0.99495,0.1236,0.15095,0.76022,0.000109398,0.000109398,0.000109398
30,231.833,0.2072,0.27613,0.78886,0.99927,1,0.995,0.9942,0.16131,0.15717,0.76222,0.000108769,0.000108769,0.000108769
31,238.974,0.20341,0.26994,0.78869,0.99936,1,0.995,0.99445,0.16111,0.15913,0.76138,0.00010814,0.00010814,0.00010814
32,246.489,0.19831,0.26512,0.786,0.99927,1,0.995,0.99478,0.12584,0.14632,0.75872,0.000107512,0.000107512,0.000107512
33,253.92,0.20856,0.26007,0.78753,0.9992,1,0.995,0.99483,0.12459,0.14984,0.76024,0.000106883,0.000106883,0.000106883
34,261.182,0.2037,0.26597,0.79031,0.99924,1,0.995,0.99485,0.13964,0.15053,0.76174,0.000106255,0.000106255,0.000106255
35,268.358,0.20163,0.25887,0.7878,0.99926,1,0.995,0.99484,0.1404,0.1477,0.7605,0.000105626,0.000105626,0.000105626
36,281.174,0.19664,0.25535,0.78591,0.99931,1,0.995,0.99496,0.13325,0.14837,0.75779,0.000104997,0.000104997,0.000104997
37,290.315,0.19723,0.25143,0.78749,0.99932,1,0.995,0.99497,0.11311,0.13745,0.75766,0.000104369,0.000104369,0.000104369
38,297.452,0.19121,0.24772,0.78743,0.99935,1,0.995,0.99491,0.11078,0.13539,0.75638,0.00010374,0.00010374,0.00010374
39,304.581,0.18759,0.24228,0.78448,0.99926,1,0.995,0.99499,0.11442,0.13344,0.75692,0.000103111,0.000103111,0.000103111
40,311.899,0.18588,0.24507,0.78616,0.99931,1,0.995,0.99497,0.12573,0.14085,0.75772,0.000102483,0.000102483,0.000102483
41,319.092,0.18017,0.23862,0.78489,0.99935,1,0.995,0.995,0.10796,0.13008,0.75611,0.000101854,0.000101854,0.000101854
42,326.588,0.18499,0.23766,0.78474,0.99936,1,0.995,0.99499,0.10366,0.13156,0.75422,0.000101225,0.000101225,0.000101225
43,333.802,0.18027,0.23095,0.78404,0.99934,1,0.995,0.99492,0.11357,0.13213,0.75521,0.000100597,0.000100597,0.000100597
44,341.013,0.1893,0.24282,0.78523,0.99931,1,0.995,0.99494,0.12588,0.13612,0.7561,9.99681e-05,9.99681e-05,9.99681e-05
45,348.121,0.19021,0.23897,0.78727,0.99926,1,0.995,0.99494,0.10098,0.12638,0.7561,9.93394e-05,9.93394e-05,9.93394e-05
46,355.276,0.17912,0.23166,0.78315,0.99929,1,0.995,0.99492,0.13755,0.13421,0.75731,9.87107e-05,9.87107e-05,9.87107e-05
47,362.422,0.18269,0.23299,0.78453,0.99927,1,0.995,0.99499,0.09597,0.12146,0.75494,9.80821e-05,9.80821e-05,9.80821e-05
48,369.529,0.1725,0.22363,0.7831,0.99936,1,0.995,0.99498,0.10207,0.12294,0.7552,9.74534e-05,9.74534e-05,9.74534e-05
49,376.626,0.17396,0.2299,0.78481,0.99932,1,0.995,0.99496,0.10422,0.12243,0.75438,9.68248e-05,9.68248e-05,9.68248e-05
50,383.741,0.18145,0.23532,0.78412,0.99936,1,0.995,0.995,0.10592,0.12321,0.75374,9.61961e-05,9.61961e-05,9.61961e-05
51,390.947,0.17551,0.22312,0.78443,0.99927,1,0.995,0.9949,0.11113,0.12241,0.75453,9.55675e-05,9.55675e-05,9.55675e-05
52,397.977,0.17356,0.21734,0.7822,0.99937,1,0.995,0.99492,0.11772,0.12906,0.75504,9.49389e-05,9.49389e-05,9.49389e-05
53,405.167,0.17315,0.21985,0.78313,0.99928,1,0.995,0.99498,0.11977,0.12625,0.75538,9.43102e-05,9.43102e-05,9.43102e-05
54,412.161,0.17052,0.22453,0.78245,0.99934,1,0.995,0.995,0.10698,0.11855,0.75322,9.36815e-05,9.36815e-05,9.36815e-05
55,419.323,0.16985,0.21432,0.78264,0.99937,1,0.995,0.995,0.09299,0.11212,0.7526,9.30529e-05,9.30529e-05,9.30529e-05
56,426.489,0.15851,0.20432,0.78078,0.99939,1,0.995,0.99499,0.09422,0.1106,0.75281,9.24242e-05,9.24242e-05,9.24242e-05
57,433.584,0.16736,0.21178,0.78134,0.99927,1,0.995,0.99491,0.12816,0.12321,0.7552,9.17956e-05,9.17956e-05,9.17956e-05
58,440.931,0.17345,0.21228,0.78386,0.99936,1,0.995,0.99493,0.136,0.12433,0.75457,9.1167e-05,9.1167e-05,9.1167e-05
59,448.206,0.1736,0.21584,0.78236,0.99929,1,0.995,0.99499,0.12485,0.11947,0.75403,9.05383e-05,9.05383e-05,9.05383e-05
60,455.695,0.16921,0.21439,0.78311,0.99936,1,0.995,0.99497,0.10316,0.10551,0.75261,8.99097e-05,8.99097e-05,8.99097e-05
61,463.246,0.17101,0.21051,0.7813,0.99938,1,0.995,0.995,0.08838,0.10478,0.75249,8.9281e-05,8.9281e-05,8.9281e-05
62,470.57,0.17694,0.2106,0.78042,0.99922,1,0.995,0.99498,0.09906,0.10829,0.753,8.86524e-05,8.86524e-05,8.86524e-05
63,477.659,0.17761,0.21336,0.78462,0.99937,1,0.995,0.99498,0.09836,0.10755,0.75351,8.80237e-05,8.80237e-05,8.80237e-05
64,484.675,0.16345,0.20131,0.78097,0.99935,1,0.995,0.99498,0.10963,0.10958,0.75426,8.73951e-05,8.73951e-05,8.73951e-05
65,491.947,0.15896,0.20291,0.78008,0.99935,1,0.995,0.995,0.08878,0.10174,0.7532,8.67664e-05,8.67664e-05,8.67664e-05
66,499.219,0.15765,0.1992,0.78042,0.99936,1,0.995,0.99498,0.10854,0.11079,0.7549,8.61378e-05,8.61378e-05,8.61378e-05
67,506.393,0.16687,0.20599,0.78208,0.99934,1,0.995,0.995,0.11585,0.11199,0.7555,8.55091e-05,8.55091e-05,8.55091e-05
68,513.64,0.17982,0.20857,0.7823,0.99937,1,0.995,0.995,0.10401,0.10805,0.75322,8.48804e-05,8.48804e-05,8.48804e-05
69,521.056,0.16149,0.20401,0.78277,0.99935,1,0.995,0.99498,0.12382,0.11201,0.7544,8.42518e-05,8.42518e-05,8.42518e-05
70,528.103,0.16178,0.19938,0.7821,0.99934,1,0.995,0.995,0.11167,0.10742,0.75301,8.36231e-05,8.36231e-05,8.36231e-05
71,535.361,0.17366,0.20252,0.78121,0.99939,1,0.995,0.99498,0.13512,0.11658,0.75526,8.29945e-05,8.29945e-05,8.29945e-05
72,542.496,0.16207,0.20021,0.78093,0.99936,1,0.995,0.995,0.11314,0.10903,0.75414,8.23659e-05,8.23659e-05,8.23659e-05
73,549.701,0.16983,0.20473,0.78204,0.99934,1,0.995,0.99492,0.14389,0.12175,0.75403,8.17372e-05,8.17372e-05,8.17372e-05
74,556.788,0.15643,0.19452,0.77989,0.99942,1,0.995,0.99499,0.08722,0.0992,0.75131,8.11086e-05,8.11086e-05,8.11086e-05
75,563.79,0.152,0.19514,0.78076,0.99937,1,0.995,0.995,0.08837,0.09777,0.7517,8.04799e-05,8.04799e-05,8.04799e-05
76,570.911,0.14961,0.19025,0.78153,0.99936,1,0.995,0.995,0.08236,0.09464,0.75249,7.98512e-05,7.98512e-05,7.98512e-05
77,578.073,0.15117,0.19805,0.78113,0.99938,1,0.995,0.995,0.09183,0.1005,0.75281,7.92226e-05,7.92226e-05,7.92226e-05
78,585.286,0.15101,0.19559,0.77989,0.99937,1,0.995,0.995,0.08692,0.09482,0.75165,7.85939e-05,7.85939e-05,7.85939e-05
79,592.474,0.14526,0.18745,0.78012,0.99933,1,0.995,0.995,0.09808,0.0979,0.75206,7.79653e-05,7.79653e-05,7.79653e-05
80,599.667,0.15084,0.18682,0.77825,0.99938,1,0.995,0.995,0.09211,0.10215,0.75263,7.73366e-05,7.73366e-05,7.73366e-05
81,606.836,0.15486,0.18961,0.77999,0.99936,1,0.995,0.995,0.08823,0.10166,0.75199,7.6708e-05,7.6708e-05,7.6708e-05
82,614.207,0.15048,0.1853,0.7802,0.9994,1,0.995,0.995,0.08936,0.09782,0.7518,7.60793e-05,7.60793e-05,7.60793e-05
83,621.317,0.14396,0.18425,0.77869,0.99939,1,0.995,0.995,0.09835,0.10073,0.75283,7.54507e-05,7.54507e-05,7.54507e-05
84,628.589,0.14829,0.18555,0.77833,0.99931,1,0.995,0.99499,0.08535,0.09606,0.75242,7.4822e-05,7.4822e-05,7.4822e-05
85,635.958,0.14181,0.17991,0.77667,0.99941,1,0.995,0.995,0.0814,0.09042,0.75166,7.41934e-05,7.41934e-05,7.41934e-05
86,643.199,0.14397,0.1805,0.77784,0.99937,1,0.995,0.99499,0.09136,0.09488,0.75343,7.35647e-05,7.35647e-05,7.35647e-05
87,650.124,0.15362,0.1909,0.77994,0.99934,1,0.995,0.995,0.0927,0.0977,0.75336,7.29361e-05,7.29361e-05,7.29361e-05
88,657.187,0.14072,0.1837,0.78001,0.9994,1,0.995,0.995,0.08682,0.09115,0.75159,7.23074e-05,7.23074e-05,7.23074e-05
89,664.382,0.13962,0.18104,0.77847,0.99937,1,0.995,0.995,0.08601,0.08995,0.75181,7.16788e-05,7.16788e-05,7.16788e-05
90,671.522,0.14044,0.17977,0.77952,0.99942,1,0.995,0.995,0.07696,0.08726,0.75124,7.10501e-05,7.10501e-05,7.10501e-05
91,678.61,0.14336,0.18204,0.77996,0.99935,1,0.995,0.995,0.08341,0.09176,0.75244,7.04215e-05,7.04215e-05,7.04215e-05
92,685.92,0.14185,0.18144,0.78061,0.99941,1,0.995,0.99499,0.08953,0.09328,0.75249,6.97928e-05,6.97928e-05,6.97928e-05
93,692.856,0.1441,0.18049,0.77931,0.99941,1,0.995,0.995,0.08028,0.08792,0.75211,6.91642e-05,6.91642e-05,6.91642e-05
94,700.064,0.13948,0.1737,0.77832,0.99938,1,0.995,0.995,0.08154,0.08708,0.75217,6.85355e-05,6.85355e-05,6.85355e-05
95,707.395,0.14067,0.17619,0.77649,0.99941,1,0.995,0.995,0.08399,0.0877,0.75172,6.79069e-05,6.79069e-05,6.79069e-05
96,714.541,0.1415,0.17759,0.77977,0.99941,1,0.995,0.995,0.07646,0.08402,0.75136,6.72783e-05,6.72783e-05,6.72783e-05
97,721.804,0.13706,0.16914,0.77728,0.99942,1,0.995,0.99499,0.08773,0.08997,0.75219,6.66496e-05,6.66496e-05,6.66496e-05
98,728.712,0.1393,0.17599,0.77761,0.99942,1,0.995,0.995,0.08256,0.08631,0.75182,6.6021e-05,6.6021e-05,6.6021e-05
99,735.836,0.1404,0.17684,0.77809,0.9994,1,0.995,0.995,0.07816,0.08708,0.75194,6.53923e-05,6.53923e-05,6.53923e-05
100,743.012,0.13693,0.1746,0.77907,0.99939,1,0.995,0.995,0.08726,0.09093,0.75257,6.47636e-05,6.47636e-05,6.47636e-05
101,750.157,0.13845,0.17393,0.77717,0.99939,1,0.995,0.995,0.07877,0.0867,0.75173,6.4135e-05,6.4135e-05,6.4135e-05
102,757.416,0.1344,0.16863,0.77676,0.99942,1,0.995,0.995,0.07878,0.08555,0.75145,6.35063e-05,6.35063e-05,6.35063e-05
103,764.622,0.13473,0.17259,0.77714,0.99931,1,0.995,0.995,0.07658,0.08279,0.7512,6.28777e-05,6.28777e-05,6.28777e-05
104,771.871,0.13518,0.17066,0.7781,0.9994,1,0.995,0.995,0.07554,0.0832,0.75106,6.2249e-05,6.2249e-05,6.2249e-05
105,779.025,0.13303,0.17348,0.77653,0.99941,1,0.995,0.995,0.08426,0.08674,0.75153,6.16204e-05,6.16204e-05,6.16204e-05
106,786.141,0.13327,0.16624,0.77781,0.99942,1,0.995,0.99499,0.08869,0.08948,0.75114,6.09917e-05,6.09917e-05,6.09917e-05
107,793.184,0.1335,0.17332,0.7785,0.99942,1,0.995,0.995,0.07447,0.08384,0.75067,6.03631e-05,6.03631e-05,6.03631e-05
108,800.393,0.13069,0.1684,0.77679,0.9994,1,0.995,0.995,0.0753,0.08365,0.75108,5.97344e-05,5.97344e-05,5.97344e-05
109,807.564,0.1318,0.167,0.77586,0.99941,1,0.995,0.995,0.07319,0.08225,0.75099,5.91058e-05,5.91058e-05,5.91058e-05
110,814.709,0.13132,0.17041,0.77799,0.99942,1,0.995,0.99499,0.07986,0.0845,0.75126,5.84771e-05,5.84771e-05,5.84771e-05
111,821.648,0.13389,0.17179,0.77468,0.99939,1,0.995,0.995,0.07746,0.08218,0.75107,5.78485e-05,5.78485e-05,5.78485e-05
112,828.792,0.13001,0.16401,0.77773,0.99942,1,0.995,0.995,0.07916,0.08309,0.75176,5.72198e-05,5.72198e-05,5.72198e-05
113,835.917,0.1319,0.16591,0.77702,0.99937,1,0.995,0.99499,0.09262,0.08893,0.75197,5.65912e-05,5.65912e-05,5.65912e-05
114,842.899,0.13877,0.16944,0.7764,0.99941,1,0.995,0.995,0.07847,0.08479,0.75115,5.59626e-05,5.59626e-05,5.59626e-05
115,850.052,0.13076,0.16495,0.77746,0.99941,1,0.995,0.995,0.08495,0.08465,0.75129,5.53339e-05,5.53339e-05,5.53339e-05
116,857.307,0.13155,0.16533,0.77843,0.99938,1,0.995,0.995,0.07443,0.08137,0.75187,5.47053e-05,5.47053e-05,5.47053e-05
117,864.72,0.12995,0.16851,0.77631,0.9994,1,0.995,0.995,0.07625,0.08246,0.75163,5.40766e-05,5.40766e-05,5.40766e-05
118,871.976,0.12964,0.16165,0.77521,0.99938,1,0.995,0.995,0.07147,0.08017,0.75149,5.3448e-05,5.3448e-05,5.3448e-05
119,879.286,0.13082,0.16421,0.77665,0.99943,1,0.995,0.995,0.07983,0.08284,0.75169,5.28193e-05,5.28193e-05,5.28193e-05
120,886.42,0.13419,0.16279,0.77633,0.99938,1,0.995,0.995,0.07404,0.08061,0.75143,5.21907e-05,5.21907e-05,5.21907e-05
121,893.663,0.12818,0.16276,0.77762,0.99942,1,0.995,0.99499,0.07594,0.08135,0.75109,5.1562e-05,5.1562e-05,5.1562e-05
122,900.739,0.12709,0.15679,0.77493,0.99937,1,0.995,0.995,0.07878,0.08156,0.75099,5.09333e-05,5.09333e-05,5.09333e-05
123,907.993,0.12948,0.16408,0.77654,0.99941,1,0.995,0.995,0.07306,0.07796,0.75094,5.03047e-05,5.03047e-05,5.03047e-05
124,915.282,0.12544,0.15836,0.77654,0.99942,1,0.995,0.995,0.07259,0.07875,0.75017,4.96761e-05,4.96761e-05,4.96761e-05
125,922.467,0.1289,0.16281,0.77623,0.99943,1,0.995,0.995,0.06905,0.07745,0.75073,4.90474e-05,4.90474e-05,4.90474e-05
