epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,929.755,0.12614,0.16284,0.77699,0.99943,1,0.995,0.995,0.06981,0.07733,0.75097,4.84187e-05,4.84187e-05,4.84187e-05
127,936.853,0.12559,0.16051,0.77566,0.99942,1,0.995,0.995,0.06981,0.07636,0.75065,4.77901e-05,4.77901e-05,4.77901e-05
128,943.998,0.12883,0.16077,0.77486,0.99939,1,0.995,0.995,0.06903,0.07536,0.75036,4.71615e-05,4.71615e-05,4.71615e-05
129,951.104,0.12805,0.15701,0.77611,0.99938,1,0.995,0.995,0.07105,0.07668,0.75065,4.65328e-05,4.65328e-05,4.65328e-05
130,958.323,0.12338,0.15785,0.77503,0.99941,1,0.995,0.995,0.07027,0.07569,0.75017,4.59041e-05,4.59041e-05,4.59041e-05
131,965.561,0.12244,0.15449,0.77588,0.9994,1,0.995,0.995,0.07548,0.07864,0.75063,4.52755e-05,4.52755e-05,4.52755e-05
132,972.716,0.12318,0.15851,0.7773,0.9994,1,0.995,0.995,0.07555,0.07905,0.75104,4.46468e-05,4.46468e-05,4.46468e-05
133,979.906,0.12569,0.15778,0.77603,0.9994,1,0.995,0.995,0.0695,0.07717,0.75028,4.40182e-05,4.40182e-05,4.40182e-05
134,987.134,0.12282,0.15459,0.77583,0.99938,1,0.995,0.995,0.07299,0.07903,0.7509,4.33895e-05,4.33895e-05,4.33895e-05
135,994.334,0.12408,0.15556,0.7765,0.99941,1,0.995,0.995,0.07073,0.08082,0.75027,4.27609e-05,4.27609e-05,4.27609e-05
136,1001.75,0.12676,0.15466,0.77506,0.99942,1,0.995,0.995,0.07597,0.08196,0.75104,4.21322e-05,4.21322e-05,4.21322e-05
137,1009.01,0.12271,0.15892,0.77781,0.99943,1,0.995,0.995,0.06832,0.07818,0.75038,4.15036e-05,4.15036e-05,4.15036e-05
138,1016.27,0.12345,0.15622,0.77698,0.99942,1,0.995,0.995,0.06955,0.07673,0.75053,4.08749e-05,4.08749e-05,4.08749e-05
139,1023.58,0.12574,0.15956,0.77482,0.99941,1,0.995,0.995,0.07332,0.07704,0.75072,4.02463e-05,4.02463e-05,4.02463e-05
140,1030.89,0.11971,0.15249,0.77615,0.99939,1,0.995,0.995,0.06839,0.07431,0.75021,3.96177e-05,3.96177e-05,3.96177e-05
141,1038,0.12311,0.15295,0.77511,0.99942,1,0.995,0.995,0.06945,0.07617,0.75052,3.8989e-05,3.8989e-05,3.8989e-05
