epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,322.599,0.22069,0.1981,0.78084,0.99974,1,0.995,0.99243,0.14648,0.1401,0.76508,0.000196788,0.000196788,0.000196788
45,329.481,0.22147,0.19732,0.78231,0.99976,1,0.995,0.9838,0.20121,0.15639,0.76903,0.00019555,0.00019555,0.00019555
46,336.587,0.23418,0.20217,0.78074,0.99971,1,0.995,0.99184,0.16335,0.15024,0.76634,0.000194313,0.000194313,0.000194313
47,343.53,0.24079,0.20073,0.78426,0.99976,1,0.995,0.99386,0.13353,0.1351,0.76454,0.000193075,0.000193075,0.000193075
48,350.58,0.2126,0.19189,0.78026,0.99976,1,0.995,0.99272,0.14724,0.1403,0.76501,0.000191837,0.000191837,0.000191837
49,357.512,0.20194,0.18618,0.77937,0.99972,1,0.995,0.99329,0.14496,0.14023,0.76506,0.0001906,0.0001906,0.0001906
50,364.576,0.20882,0.18918,0.7802,0.99971,1,0.995,0.99419,0.13209,0.13387,0.76424,0.000189363,0.000189363,0.000189363
51,371.469,0.20939,0.18631,0.77962,0.99973,1,0.995,0.99427,0.13108,0.13049,0.76415,0.000188125,0.000188125,0.000188125
52,378.633,0.2083,0.18704,0.77947,0.99973,1,0.995,0.99338,0.14054,0.13491,0.76494,0.000186888,0.000186888,0.000186888
53,385.613,0.2163,0.19044,0.78137,0.99974,1,0.995,0.99032,0.16403,0.14381,0.76609,0.00018565,0.00018565,0.00018565
54,392.458,0.22546,0.1907,0.78193,0.99975,1,0.995,0.99218,0.14845,0.13653,0.76476,0.000184413,0.000184413,0.000184413
55,399.569,0.19889,0.18028,0.77839,0.99978,1,0.995,0.99328,0.13561,0.1326,0.76475,0.000183175,0.000183175,0.000183175
56,406.622,0.20802,0.18627,0.77934,0.99972,1,0.995,0.98536,0.17867,0.14559,0.7671,0.000181937,0.000181937,0.000181937
57,413.527,0.20751,0.18329,0.77864,0.99976,1,0.995,0.99309,0.14524,0.13461,0.7643,0.0001807,0.0001807,0.0001807
58,420.583,0.19838,0.17893,0.77913,0.99977,1,0.995,0.9935,0.13781,0.13034,0.76432,0.000179463,0.000179463,0.000179463
59,427.475,0.19553,0.17768,0.77756,0.99974,1,0.995,0.99472,0.12098,0.12536,0.76308,0.000178225,0.000178225,0.000178225
60,434.436,0.19839,0.17961,0.78005,0.99975,1,0.995,0.99433,0.12993,0.12965,0.76357,0.000176988,0.000176988,0.000176988
61,441.306,0.20011,0.18001,0.7795,0.99977,1,0.995,0.99359,0.13789,0.13208,0.76432,0.00017575,0.00017575,0.00017575
62,448.301,0.19589,0.18134,0.77839,0.99976,1,0.995,0.99324,0.14366,0.13138,0.76415,0.000174513,0.000174513,0.000174513
63,455.064,0.19341,0.17677,0.77818,0.99977,1,0.995,0.99366,0.14457,0.13357,0.76419,0.000173275,0.000173275,0.000173275
64,461.885,0.1968,0.17776,0.77885,0.99972,1,0.995,0.99374,0.13861,0.13248,0.76373,0.000172038,0.000172038,0.000172038
65,468.737,0.20899,0.18251,0.77977,0.99973,1,0.995,0.99367,0.1422,0.12923,0.76355,0.0001708,0.0001708,0.0001708
66,475.505,0.20739,0.17917,0.77912,0.99977,1,0.995,0.99271,0.14905,0.13132,0.76477,0.000169563,0.000169563,0.000169563
67,482.438,0.20022,0.17525,0.778,0.99978,1,0.995,0.99435,0.12316,0.124,0.7633,0.000168325,0.000168325,0.000168325
68,489.272,0.1893,0.17311,0.77789,0.99974,1,0.995,0.99475,0.11953,0.12223,0.76308,0.000167088,0.000167088,0.000167088
69,496.099,0.19336,0.1738,0.77922,0.99977,1,0.995,0.99411,0.13728,0.12845,0.76329,0.00016585,0.00016585,0.00016585
70,502.869,0.18512,0.17032,0.77781,0.99978,1,0.995,0.99467,0.11325,0.11894,0.76243,0.000164612,0.000164612,0.000164612
71,509.705,0.18277,0.16934,0.7768,0.99977,1,0.995,0.99385,0.13707,0.12739,0.76306,0.000163375,0.000163375,0.000163375
72,516.454,0.18478,0.16938,0.77807,0.99979,1,0.995,0.99481,0.11761,0.12064,0.76252,0.000162138,0.000162138,0.000162138
73,523.522,0.18494,0.16964,0.77775,0.99973,1,0.995,0.99469,0.11434,0.11811,0.76244,0.0001609,0.0001609,0.0001609
74,530.549,0.18631,0.17007,0.77696,0.99977,1,0.995,0.99474,0.11508,0.1196,0.76241,0.000159663,0.000159663,0.000159663
75,537.458,0.18514,0.1695,0.77836,0.99977,1,0.995,0.99114,0.15663,0.13153,0.76484,0.000158425,0.000158425,0.000158425
76,544.371,0.17903,0.16526,0.77751,0.99978,1,0.995,0.99408,0.12566,0.12233,0.76292,0.000157188,0.000157188,0.000157188
77,551.312,0.18608,0.17066,0.77763,0.99977,1,0.995,0.99441,0.13245,0.1265,0.76328,0.00015595,0.00015595,0.00015595
78,558.241,0.19354,0.17032,0.77706,0.99976,1,0.995,0.99383,0.14028,0.12707,0.76396,0.000154712,0.000154712,0.000154712
79,565.167,0.1814,0.16617,0.77633,0.99975,1,0.995,0.99489,0.10875,0.11466,0.76228,0.000153475,0.000153475,0.000153475
80,571.934,0.18281,0.16613,0.7767,0.99976,1,0.995,0.99475,0.11368,0.11591,0.76208,0.000152238,0.000152238,0.000152238
81,578.624,0.17553,0.16248,0.7753,0.99977,1,0.995,0.99362,0.14119,0.1246,0.7631,0.000151,0.000151,0.000151
82,585.541,0.18193,0.16517,0.77652,0.99976,1,0.995,0.99452,0.11433,0.11501,0.76198,0.000149762,0.000149762,0.000149762
83,592.586,0.1851,0.1643,0.77684,0.99979,1,0.995,0.99474,0.1169,0.11784,0.76236,0.000148525,0.000148525,0.000148525
84,599.654,0.18063,0.16396,0.77803,0.99978,1,0.995,0.99436,0.12179,0.11731,0.76246,0.000147287,0.000147287,0.000147287
85,606.553,0.16941,0.15895,0.77678,0.99979,1,0.995,0.99419,0.12874,0.12067,0.76233,0.00014605,0.00014605,0.00014605
86,613.431,0.17567,0.16183,0.77535,0.99976,1,0.995,0.99484,0.11169,0.11335,0.76159,0.000144812,0.000144812,0.000144812
87,620.28,0.17646,0.16208,0.77625,0.99979,1,0.995,0.99432,0.12522,0.11961,0.76274,0.000143575,0.000143575,0.000143575
88,627.258,0.17328,0.16018,0.7775,0.99976,1,0.995,0.99491,0.10679,0.11257,0.76178,0.000142337,0.000142337,0.000142337
89,634.155,0.17644,0.16068,0.77524,0.99979,1,0.995,0.99486,0.10292,0.11011,0.76137,0.0001411,0.0001411,0.0001411
90,640.936,0.17762,0.16125,0.77655,0.99978,1,0.995,0.99455,0.12217,0.11477,0.76236,0.000139862,0.000139862,0.000139862
91,647.81,0.17004,0.15615,0.7758,0.99978,0.99995,0.995,0.99465,0.11223,0.11337,0.76193,0.000138625,0.000138625,0.000138625
92,654.686,0.17088,0.15715,0.77573,0.9998,1,0.995,0.99489,0.10683,0.10948,0.76128,0.000137387,0.000137387,0.000137387
93,661.495,0.17053,0.15752,0.77618,0.99979,1,0.995,0.99472,0.11644,0.11348,0.76189,0.00013615,0.00013615,0.00013615
94,668.381,0.17419,0.15821,0.77611,0.99978,1,0.995,0.99495,0.1065,0.11013,0.76143,0.000134913,0.000134913,0.000134913
95,675.186,0.17063,0.15648,0.77535,0.99977,0.99999,0.995,0.99373,0.13518,0.11946,0.76322,0.000133675,0.000133675,0.000133675
96,681.997,0.17337,0.1569,0.77507,0.99978,1,0.995,0.99479,0.10819,0.10935,0.76182,0.000132438,0.000132438,0.000132438
97,688.818,0.16667,0.15394,0.77699,0.99978,1,0.995,0.99478,0.1092,0.11022,0.76158,0.0001312,0.0001312,0.0001312
98,695.684,0.16664,0.15249,0.77528,0.9998,1,0.995,0.99431,0.12296,0.11429,0.76218,0.000129963,0.000129963,0.000129963
99,702.467,0.1722,0.1563,0.77548,0.99978,1,0.995,0.99494,0.10088,0.1062,0.76106,0.000128725,0.000128725,0.000128725
100,709.296,0.17007,0.15565,0.77523,0.99979,1,0.995,0.99489,0.10667,0.10819,0.76129,0.000127488,0.000127488,0.000127488
101,716.117,0.16748,0.15358,0.77623,0.99978,1,0.995,0.99492,0.1081,0.10944,0.76216,0.00012625,0.00012625,0.00012625
102,722.873,0.16554,0.15145,0.77496,0.99979,1,0.995,0.99398,0.12612,0.11348,0.76243,0.000125013,0.000125013,0.000125013
103,729.647,0.1631,0.15097,0.77374,0.9998,1,0.995,0.99485,0.10856,0.10747,0.76141,0.000123775,0.000123775,0.000123775
104,736.409,0.16349,0.15138,0.77475,0.99976,1,0.995,0.99465,0.10846,0.10831,0.76131,0.000122537,0.000122537,0.000122537
105,743.18,0.16693,0.15183,0.7753,0.99979,1,0.995,0.99493,0.10037,0.1045,0.76102,0.0001213,0.0001213,0.0001213
106,749.997,0.16036,0.14904,0.77413,0.9998,1,0.995,0.99479,0.11205,0.10731,0.76146,0.000120063,0.000120063,0.000120063
107,756.709,0.15864,0.14945,0.7759,0.99979,1,0.995,0.99481,0.11589,0.10983,0.76161,0.000118825,0.000118825,0.000118825
108,763.533,0.16226,0.14994,0.77388,0.99979,1,0.995,0.99491,0.10173,0.1039,0.76118,0.000117588,0.000117588,0.000117588
109,770.444,0.15926,0.14864,0.77451,0.99977,1,0.995,0.99476,0.11459,0.10978,0.76134,0.00011635,0.00011635,0.00011635
110,777.337,0.16476,0.15159,0.77581,0.9998,1,0.995,0.99405,0.12868,0.11387,0.76197,0.000115112,0.000115112,0.000115112
111,784.049,0.15982,0.14785,0.77451,0.99978,1,0.995,0.99485,0.10767,0.10521,0.76096,0.000113875,0.000113875,0.000113875
112,790.84,0.16252,0.14785,0.77574,0.99976,1,0.995,0.99496,0.09943,0.10449,0.76082,0.000112637,0.000112637,0.000112637
113,797.608,0.16359,0.14783,0.77533,0.99981,1,0.995,0.99493,0.09616,0.10066,0.76054,0.0001114,0.0001114,0.0001114
114,804.365,0.16437,0.14968,0.77316,0.99981,1,0.995,0.99493,0.10332,0.10265,0.76098,0.000110163,0.000110163,0.000110163
115,811.251,0.15729,0.1454,0.77485,0.99978,1,0.995,0.99485,0.10379,0.10244,0.76099,0.000108925,0.000108925,0.000108925
116,818.156,0.15353,0.14271,0.77461,0.9998,1,0.995,0.9948,0.1245,0.1117,0.76186,0.000107688,0.000107688,0.000107688
117,824.779,0.162,0.14762,0.77394,0.99979,1,0.995,0.99493,0.10519,0.10291,0.76114,0.00010645,0.00010645,0.00010645
118,831.488,0.15338,0.14275,0.77452,0.99979,1,0.995,0.99495,0.1009,0.10016,0.76077,0.000105213,0.000105213,0.000105213
119,838.43,0.15344,0.14356,0.77396,0.9998,1,0.995,0.99498,0.10045,0.10178,0.76079,0.000103975,0.000103975,0.000103975
120,845.476,0.15484,0.14461,0.77467,0.9998,1,0.995,0.99491,0.10495,0.10328,0.76067,0.000102738,0.000102738,0.000102738
121,852.325,0.15444,0.14396,0.77333,0.99979,1,0.995,0.99486,0.11183,0.10578,0.76117,0.0001015,0.0001015,0.0001015
122,859.136,0.15374,0.14262,0.77451,0.99979,1,0.995,0.99493,0.10954,0.10364,0.76098,0.000100263,0.000100263,0.000100263
123,865.95,0.15563,0.14343,0.77516,0.99979,1,0.995,0.99485,0.10765,0.10248,0.76103,9.9025e-05,9.9025e-05,9.9025e-05
124,872.798,0.15358,0.14228,0.77326,0.99977,1,0.995,0.99497,0.09598,0.0993,0.76032,9.77875e-05,9.77875e-05,9.77875e-05
125,879.501,0.15661,0.14367,0.77524,0.99981,1,0.995,0.99495,0.1018,0.10114,0.76075,9.655e-05,9.655e-05,9.655e-05
126,886.501,0.15584,0.1431,0.77319,0.9998,1,0.995,0.99467,0.11105,0.10587,0.761,9.53125e-05,9.53125e-05,9.53125e-05
127,893.539,0.14953,0.13971,0.77425,0.99981,1,0.995,0.99478,0.10631,0.10271,0.76066,9.4075e-05,9.4075e-05,9.4075e-05
128,900.35,0.14995,0.13961,0.77455,0.99981,1,0.995,0.99495,0.10031,0.09909,0.76022,9.28375e-05,9.28375e-05,9.28375e-05
129,907.435,0.14712,0.13753,0.77283,0.99979,1,0.995,0.99482,0.10934,0.10297,0.76095,9.16e-05,9.16e-05,9.16e-05
